2024-03-14 19:37:16 {'message': 'new stream registration', 'data': {'streamid': 'fd3d9a2b7307337bb37656234fd78276'}}
2024-03-14 19:37:16 {'message': 'registered a new stream successfully', 'streamid': 'fd3d9a2b7307337bb37656234fd78276', 'streamer': '3kSn1GTJQf3qXMNaAAAD'}
2024-03-14 19:37:16 192.168.0.1 - - [14/Mar/2024 17:37:16] "POST /socket.io/?EIO=4&transport=polling&t=Ou-2YKh.0&sid=31uTGFVRe0Ev--eYAAAC HTTP/1.1" 200 -
2024-03-14 19:37:22 192.168.0.1 - - [14/Mar/2024 17:37:22] "GET /socket.io/?EIO=4&transport=polling&t=Ou-2Zyr HTTP/1.1" 200 -
2024-03-14 19:37:22 192.168.0.1 - - [14/Mar/2024 17:37:22] "POST /socket.io/?EIO=4&transport=polling&t=Ou-2Zzj&sid=w6EfT2QmnZ0y6twoAAAE HTTP/1.1" 200 -
2024-03-14 19:37:22 192.168.0.1 - - [14/Mar/2024 17:37:22] "GET /socket.io/?EIO=4&transport=polling&t=Ou-2Zzk&sid=w6EfT2QmnZ0y6twoAAAE HTTP/1.1" 200 -
2024-03-14 19:37:23 {'message': 'received a viewing request', 'requested streamid': 'fd3d9a2b7307337bb37656234fd78276'}
2024-03-14 19:37:28 {'message': 'received broadcasted data', 'length of data': 347302, 'streamid': 'fd3d9a2b7307337bb37656234fd78276'}
2024-03-14 19:37:28 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0004911290016025305, 'data_size': 347302}
2024-03-14 19:37:37 {'message': 'received broadcasted data', 'length of data': 404897, 'streamid': 'fd3d9a2b7307337bb37656234fd78276'}
2024-03-14 19:37:37 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00045341999793890864, 'data_size': 404897}
2024-03-14 19:37:48 {'message': 'received broadcasted data', 'length of data': 472924, 'streamid': 'fd3d9a2b7307337bb37656234fd78276'}
2024-03-14 19:37:48 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0003352700005052611, 'data_size': 472924}
2024-03-14 19:37:58 {'message': 'received broadcasted data', 'length of data': 335564, 'streamid': 'fd3d9a2b7307337bb37656234fd78276'}
