2024-03-14 19:55:57 {'message': 'received a viewing request', 'requested streamid': '05c4f2f958dfbff3eee79e4980160889'}
2024-03-14 19:56:03 {'message': 'received broadcasted data', 'length of data': 246614, 'streamid': '05c4f2f958dfbff3eee79e4980160889'}
2024-03-14 19:56:03 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0004511499937507324, 'data_size': 246614}
2024-03-14 19:56:03 {'message': 'received broadcasted data', 'length of data': 152654, 'streamid': 'd07ecc140073caf578b4dfbbb132ba51'}
2024-03-14 19:56:03 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.00047464999806834385, 'data_size': 152654}
2024-03-14 19:56:05 {'message': 'received broadcasted data', 'length of data': 113798, 'streamid': '2cb8b2334d128d54c56d6594cdd9c1d1'}
2024-03-14 19:56:05 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0004525159965851344, 'data_size': 113798}
2024-03-14 19:56:06 {'message': 'received broadcasted data', 'length of data': 112226, 'streamid': '3a43aad654efdf8b17e7951cfb416782'}
2024-03-14 19:56:06 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.07644003900350071, 'data_size': 112226}
2024-03-14 19:56:13 {'message': 'received broadcasted data', 'length of data': 149095, 'streamid': '05c4f2f958dfbff3eee79e4980160889'}
2024-03-14 19:56:13 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0005837790013174526, 'data_size': 149095}
2024-03-14 19:56:14 {'message': 'received broadcasted data', 'length of data': 61609, 'streamid': 'd07ecc140073caf578b4dfbbb132ba51'}
2024-03-14 19:56:14 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.013100200005283114, 'data_size': 61609}
2024-03-14 19:56:15 {'message': 'received broadcasted data', 'length of data': 222467, 'streamid': '2cb8b2334d128d54c56d6594cdd9c1d1'}
2024-03-14 19:56:15 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.0005742539942730218, 'data_size': 222467}
2024-03-14 19:56:16 {'message': 'received broadcasted data', 'length of data': 184737, 'streamid': '3a43aad654efdf8b17e7951cfb416782'}
2024-03-14 19:56:16 {'message': 'performance_metrics', 'forwarding_data_duration_seconds': 0.03634095099550905, 'data_size': 184737}
2024-03-14 19:56:23 {'message': 'received broadcasted data', 'length of data': 88919, 'streamid': '05c4f2f958dfbff3eee79e4980160889'}
